lum,atm,int,sex,age,time
1,8.0,1,2,33,14
1,8.0,1,1,15,14
1,1.0,6,1,56,18
1,1.0,6,1,16,18
1,1.0,6,2,54,18
1,1.0,1,1,19,19
1,1.0,1,1,46,19
2,7.0,1,1,17,19
2,7.0,1,1,17,19
2,7.0,1,2,31,19
1,1.0,3,2,59,11
1,1.0,3,2,14,11
1,1.0,3,1,63,11
1,7.0,1,1,59,11
1,7.0,1,2,38,11
1,7.0,1,1,15,11
1,7.0,1,1,15,11
1,7.0,1,1,36,11
2,1.0,1,2,47,19
2,1.0,1,1,41,19
2,1.0,1,1,44,19
1,1.0,1,1,32,19
1,1.0,1,1,15,19
1,9.0,1,1,43,10
1,9.0,1,1,60,10
2,8.0,1,1,50,8
2,8.0,1,2,56,8
3,1.0,1,1,26,18
1,1.0,1,2,69,16
1,1.0,1,1,77,16
1,1.0,1,1,20,12
1,1.0,1,1,41,12
1,1.0,1,1,46,12
1,7.0,6,1,46,19
1,7.0,6,1,52,19
1,7.0,6,1,24,19
1,1.0,1,2,38,8
1,1.0,1,1,55,8
1,1.0,1,1,22,8
3,8.0,1,2,20,7
2,5.0,1,1,57,7
2,5.0,1,2,54,7
1,1.0,1,1,47,19
1,1.0,1,1,43,19
1,1.0,1,1,24,19
1,1.0,1,2,22,19
1,1.0,1,2,20,19
1,1.0,1,2,2,19
5,2.0,6,1,53,20
5,2.0,6,1,49,20
1,1.0,1,2,26,11
1,1.0,1,2,53,11
1,1.0,2,1,26,10
1,1.0,2,1,24,10
1,1.0,2,2,24,10
1,3.0,1,1,80,15
3,2.0,1,1,42,9
3,2.0,1,1,42,9
3,9.0,1,1,24,5
1,7.0,1,2,77,11
1,7.0,1,2,4,11
1,1.0,1,1,61,13
1,1.0,1,2,77,13
3,1.0,1,1,74,19
3,1.0,1,1,52,19
3,5.0,1,1,23,20
3,5.0,1,1,32,20
3,5.0,1,2,31,20
3,5.0,1,1,6,20
3,5.0,1,1,4,20
3,5.0,1,1,1,20
1,1.0,1,1,44,17
1,1.0,1,2,28,17
1,1.0,1,1,33,20
1,1.0,1,1,16,20
1,1.0,1,2,19,11
1,1.0,1,1,26,11
1,3.0,3,2,31,9
1,3.0,3,2,34,9
1,1.0,1,1,39,13
1,1.0,1,1,28,13
5,2.0,1,1,27,21
3,6.0,1,2,65,17
3,6.0,1,1,27,17
3,1.0,1,1,51,3
1,1.0,1,1,25,15
1,1.0,1,2,58,15
1,1.0,1,1,73,15
1,1.0,1,1,41,21
1,1.0,1,1,12,21
2,1.0,1,2,24,6
1,1.0,1,2,28,8
1,1.0,1,2,40,8
1,1.0,1,1,71,16
5,1.0,1,1,25,5
1,1.0,1,1,19,14
1,1.0,1,1,16,14
5,2.0,1,1,73,18
5,2.0,1,2,60,18
3,1.0,1,1,26,22
3,1.0,1,1,20,22
1,1.0,2,1,42,13
1,1.0,2,1,30,13
1,1.0,1,1,60,18
4,1.0,1,1,39,2
1,1.0,1,1,68,10
1,1.0,1,1,76,10
1,1.0,1,2,23,15
1,1.0,1,1,26,15
1,2.0,1,2,50,15
1,2.0,1,1,13,15
3,2.0,1,1,29,1
1,1.0,1,2,27,11
1,1.0,1,1,65,11
1,1.0,1,2,72,11
1,2.0,1,1,39,16
2,1.0,1,1,58,7
2,1.0,1,1,64,7
3,5.0,1,1,30,7
3,5.0,1,1,62,7
3,5.0,1,1,44,7
3,1.0,1,2,44,4
1,2.0,1,1,29,18
1,1.0,1,1,25,13
1,1.0,1,1,29,13
5,1.0,9,1,18,20
5,1.0,9,2,59,20
3,1.0,1,2,48,17
3,1.0,1,1,27,17
1,1.0,2,2,39,11
1,1.0,2,1,70,11
1,1.0,2,2,64,11
1,1.0,2,2,81,11
1,1.0,2,1,81,11
3,2.0,1,1,34,1
1,2.0,1,2,54,19
1,1.0,1,1,43,15
1,1.0,1,2,67,15
1,1.0,1,1,67,14
1,1.0,1,1,40,14
3,1.0,2,1,48,22
3,1.0,2,1,63,22
1,1.0,1,1,73,10
1,1.0,1,1,85,10
1,1.0,6,1,89,13
1,1.0,6,2,61,13
5,1.0,1,1,69,19
5,1.0,1,2,69,19
3,5.0,1,1,17,21
3,5.0,1,2,18,21
3,5.0,1,1,63,21
5,1.0,2,2,24,21
5,1.0,2,2,16,21
5,1.0,2,2,54,21
3,1.0,1,1,29,2
5,1.0,1,1,35,17
5,1.0,1,1,38,17
1,1.0,1,2,71,16
1,1.0,1,1,62,16
1,1.0,1,1,35,8
1,1.0,1,1,31,8
2,1.0,1,1,22,6
2,1.0,1,1,24,6
2,1.0,1,1,25,6
2,1.0,1,1,24,6
2,1.0,1,1,23,6
1,3.0,1,1,41,9
3,2.0,1,1,44,21
3,2.0,1,2,22,21
3,2.0,1,1,60,21
1,1.0,2,1,49,11
1,1.0,2,1,54,11
1,1.0,1,1,17,16
1,1.0,1,1,17,16
1,1.0,1,1,34,16
1,1.0,8,1,51,8
1,1.0,8,1,48,8
3,1.0,1,2,19,2
3,1.0,1,1,42,2
1,1.0,1,1,22,10
1,1.0,1,1,29,10
1,2.0,6,1,69,11
1,2.0,6,2,31,11
1,1.0,6,2,24,13
1,1.0,6,1,23,13
1,1.0,6,2,23,13
3,1.0,1,1,25,5
3,1.0,1,1,49,5
5,1.0,1,1,24,5
1,1.0,9,1,57,16
1,1.0,1,2,19,10
1,1.0,1,2,16,10
5,1.0,1,1,52,23
1,1.0,1,1,26,15
1,1.0,1,1,24,15
1,1.0,1,2,22,15
1,1.0,1,1,2,15
1,1.0,1,1,84,15
1,1.0,1,2,85,15
3,1.0,1,1,23,17
3,1.0,1,2,41,17
3,1.0,1,2,20,17
3,1.0,1,2,37,17
1,1.0,1,2,20,17
1,1.0,1,1,36,17
1,1.0,1,1,38,14
1,1.0,1,2,48,14
1,1.0,1,2,36,14
5,1.0,1,1,38,21
5,1.0,1,2,33,21
5,1.0,1,1,26,20
1,1.0,1,1,31,14
1,1.0,1,2,53,14
1,1.0,1,1,34,14
1,1.0,1,1,15,15
1,1.0,1,2,27,15
2,1.0,1,1,33,13
1,1.0,1,2,37,9
1,1.0,1,1,55,9
3,2.0,1,1,56,19
1,1.0,1,2,79,12
1,1.0,1,1,13,12
3,1.0,1,1,21,3
3,1.0,1,1,20,3
2,1.0,1,1,26,20
2,1.0,1,2,29,20
2,1.0,1,2,42,20
1,1.0,1,1,18,17
1,1.0,1,2,18,17
1,1.0,1,2,56,17
1,1.0,1,1,22,17
5,8.0,1,1,39,18
5,8.0,1,2,28,18
5,8.0,1,2,6,18
5,8.0,1,1,9,18
5,8.0,1,2,11,18
5,8.0,1,2,75,18
2,5.0,1,2,44,7
2,5.0,1,2,11,7
2,5.0,1,2,11,7
1,5.0,1,1,68,13
1,1.0,2,2,24,8
1,1.0,2,1,83,8
3,2.0,1,1,19,20
1,1.0,1,1,62,15
5,9.0,1,1,22,3
5,9.0,1,1,21,3
5,9.0,1,2,16,3
5,9.0,1,1,19,3
5,9.0,1,1,20,3
1,1.0,1,1,20,21
1,2.0,1,1,51,15
1,2.0,1,2,40,15
1,2.0,1,1,44,15
1,2.0,1,1,7,15
5,5.0,1,1,54,6
5,5.0,1,2,26,6
1,1.0,1,1,58,15
2,1.0,1,1,50,7
2,1.0,1,1,46,7
2,1.0,1,1,18,7
5,1.0,1,1,30,0
1,1.0,1,1,23,12
1,1.0,1,1,57,12
1,9.0,1,2,24,10
3,5.0,1,2,23,20
3,5.0,1,1,48,20
1,1.0,1,1,22,18
1,1.0,1,2,21,18
1,1.0,1,1,27,18
1,1.0,1,1,21,18
1,1.0,1,1,27,16
5,2.0,1,1,22,6
5,2.0,1,2,24,6
5,2.0,1,1,22,6
3,1.0,1,1,24,21
3,1.0,1,1,49,21
1,1.0,1,1,63,10
1,1.0,1,1,71,10
1,1.0,1,2,69,10
1,1.0,1,1,41,10
1,1.0,1,1,57,10
1,3.0,1,1,52,15
5,1.0,1,1,34,23
5,1.0,1,2,31,23
5,1.0,1,1,1,23
5,1.0,1,1,19,23
5,1.0,1,1,7,23
5,1.0,1,1,26,21
5,1.0,1,1,54,21
1,1.0,1,2,39,17
1,1.0,1,1,6,17
3,1.0,1,1,49,2
1,1.0,2,1,20,15
1,1.0,2,1,74,15
1,3.0,1,1,24,13
1,3.0,1,2,55,13
1,1.0,1,1,56,11
1,1.0,1,2,25,17
1,1.0,1,1,46,17
1,1.0,1,1,25,21
1,1.0,1,1,36,21
5,1.0,1,1,34,6
1,1.0,1,1,29,13
1,1.0,1,1,46,13
1,1.0,1,1,33,17
1,1.0,1,1,14,17
1,1.0,1,1,16,17
3,1.0,1,1,20,22
3,1.0,1,1,32,22
1,1.0,1,1,46,14
1,1.0,1,2,34,14
1,1.0,1,2,40,13
1,1.0,1,1,43,13
3,1.0,1,2,34,3
1,1.0,1,1,57,18
1,1.0,1,2,15,18
1,1.0,1,1,18,9
1,1.0,1,1,5,9
3,1.0,1,1,32,22
2,1.0,1,1,52,6
1,1.0,1,1,28,14
2,1.0,1,1,20,20
2,1.0,1,1,55,20
5,2.0,1,1,36,21
5,2.0,1,1,19,21
3,1.0,6,1,45,5
1,1.0,6,2,44,10
1,1.0,6,1,46,10
3,1.0,1,1,48,7
3,1.0,1,2,58,7
1,1.0,1,1,42,21
1,1.0,1,1,46,21
1,7.0,1,1,47,15
1,7.0,1,2,84,15
1,1.0,1,1,47,13
1,1.0,1,1,22,13
1,1.0,1,1,41,13
1,1.0,1,1,90,10
1,1.0,1,1,26,10
2,1.0,1,1,34,8
2,1.0,1,2,14,8
1,1.0,1,1,46,14
1,1.0,1,1,39,14
1,7.0,1,1,28,9
1,7.0,1,1,37,9
1,1.0,1,1,26,16
1,1.0,1,2,73,16
1,1.0,1,2,62,16
1,8.0,1,1,17,16
1,8.0,1,2,23,16
2,2.0,1,2,29,8
2,2.0,1,2,15,8
1,1.0,1,1,27,11
1,1.0,1,1,23,11
1,1.0,1,1,41,17
1,1.0,1,1,45,17
2,1.0,1,1,49,6
2,1.0,1,1,31,6
3,1.0,1,1,61,19
3,1.0,1,1,33,19
3,1.0,1,1,48,19
3,1.0,1,1,19,22
2,1.0,1,1,45,20
5,1.0,1,1,26,1
1,1.0,1,1,86,14
3,1.0,1,1,39,4
3,9.0,1,1,20,2
3,9.0,1,2,19,17
3,9.0,1,1,19,17
3,9.0,1,1,20,17
1,4.0,1,1,45,17
1,4.0,1,1,33,17
1,4.0,1,1,22,17
1,8.0,1,1,48,8
1,8.0,1,1,78,8
2,1.0,1,1,42,17
2,1.0,1,2,33,17
1,5.0,1,1,19,17
1,5.0,1,1,39,17
3,2.0,1,1,25,2
3,2.0,1,1,26,2
1,1.0,1,1,17,16
3,8.0,1,1,31,17
3,8.0,1,1,54,17
3,8.0,1,1,60,17
3,8.0,1,2,61,17
1,1.0,1,1,78,14
1,1.0,1,1,40,14
1,1.0,1,1,80,13
1,7.0,1,2,22,17
1,7.0,1,2,57,17
2,5.0,1,2,47,7
2,5.0,1,2,14,7
2,5.0,1,2,14,7
2,5.0,1,1,13,7
2,5.0,1,2,13,7
2,5.0,1,1,12,7
2,5.0,1,2,11,7
2,5.0,1,2,13,7
2,5.0,1,2,13,7
2,5.0,1,1,13,7
2,5.0,1,1,12,7
2,5.0,1,2,12,7
2,5.0,1,2,11,7
2,5.0,1,1,36,7
3,6.0,1,1,38,19
3,6.0,1,1,28,19
3,6.0,1,1,50,19
3,2.0,1,1,43,20
1,1.0,1,1,56,14
1,1.0,1,2,29,14
1,1.0,1,1,47,14
1,1.0,1,2,2,14
1,1.0,1,1,5,14
3,1.0,1,1,61,23
3,1.0,1,2,60,23
3,1.0,1,1,30,23
3,1.0,1,1,29,23
1,1.0,9,1,45,18
1,1.0,9,1,72,18
1,1.0,9,1,37,18
1,1.0,9,2,36,18
1,1.0,9,2,6,18
1,1.0,9,1,3,18
1,1.0,9,1,27,18
1,1.0,1,1,55,11
1,1.0,1,1,46,17
1,1.0,1,2,14,17
1,1.0,1,1,27,17
3,1.0,1,1,22,22
3,1.0,1,1,58,22
3,1.0,1,2,59,22
1,1.0,1,1,24,7
1,1.0,1,1,22,7
1,1.0,1,1,27,7
1,3.0,1,1,42,12
1,3.0,1,2,24,12
1,1.0,1,1,46,7
1,1.0,1,2,27,7
1,1.0,1,2,31,7
1,1.0,1,1,31,7
3,1.0,1,2,43,18
3,1.0,1,1,55,18
1,1.0,3,2,7,18
1,1.0,3,1,56,18
1,1.0,3,1,56,18
1,1.0,2,1,30,19
1,1.0,2,2,26,19
1,1.0,1,1,18,8
1,1.0,1,2,46,8
1,1.0,1,1,61,9
1,3.0,1,1,76,17
1,1.0,1,2,24,11
2,1.0,1,1,36,21
5,1.0,1,1,39,18
5,1.0,1,2,22,18
2,1.0,2,2,78,17
2,1.0,2,1,23,17
1,1.0,1,2,49,14
1,1.0,1,2,63,14
1,1.0,1,2,23,14
1,1.0,1,1,29,14
1,7.0,1,2,23,11
1,7.0,1,2,25,11
1,7.0,1,1,23,11
1,7.0,1,1,31,11
3,2.0,1,1,23,2
1,7.0,1,1,31,17
1,1.0,1,1,33,12
1,2.0,1,1,27,6
1,2.0,1,1,18,6
1,1.0,1,1,54,15
1,1.0,1,1,31,15
1,2.0,1,2,36,7
1,2.0,1,1,16,7
3,2.0,1,1,38,18
3,2.0,1,1,20,18
3,1.0,1,1,24,21
3,1.0,1,1,35,21
3,1.0,1,1,64,21
1,8.0,1,1,17,15
1,1.0,6,1,60,19
3,1.0,1,1,20,9
3,1.0,1,2,15,9
3,1.0,1,1,42,9
3,9.0,1,1,67,18
3,9.0,1,1,61,18
3,9.0,1,2,62,18
1,1.0,1,2,94,9
1,1.0,1,1,76,9
1,1.0,1,1,37,10
1,1.0,1,1,34,10
1,1.0,1,1,23,10
1,1.0,6,2,27,17
1,1.0,6,1,15,17
3,8.0,1,1,32,4
3,8.0,1,1,34,4
2,1.0,1,1,38,7
2,1.0,1,2,28,7
